,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8
taxon_1,0.0,0.007032888370079276,0.01617322106722795,0.014132391821519649,0.023360190659701664,0.027498180569867123,0.02542631986799476,0.02439256173412633
taxon_2,0.007032888370079276,0.0,0.01719572745636467,0.015152117754252879,0.024392550764527173,0.0274981795484599,0.026461530083705442,0.025426347206492395
taxon_3,0.01617322106722795,0.01719572745636467,0.0,0.006024142138598064,0.01924490392418337,0.02336017937793994,0.021299711980941372,0.02027161565013891
taxon_4,0.014132391821519649,0.015152117754252879,0.006024142138598064,0.0,0.01719571526143942,0.021299734389518685,0.019244910238044196,0.01821962329341328
taxon_5,0.023360190659701664,0.024392550764527173,0.01924490392418337,0.01719571526143942,0.0,0.004010707674999793,0.010067282673555457,0.009054452942522545
taxon_6,0.027498180569867123,0.0274981795484599,0.02336017937793994,0.021299734389518685,0.004010707674999793,0.0,0.014132348373643832,0.013114019670594078
taxon_7,0.02542631986799476,0.026461530083705442,0.021299711980941372,0.019244910238044196,0.010067282673555457,0.014132348373643832,0.0,0.005016745834100557
taxon_8,0.02439256173412633,0.025426347206492395,0.02027161565013891,0.01821962329341328,0.009054452942522545,0.013114019670594078,0.005016745834100557,0.0
