,Taxon_1,Taxon_2,Taxon_3,Taxon_4,Taxon_5,Taxon_6,Taxon_7,Taxon_8
Taxon_1,0.0,0.018219749911371763,0.018219764220929538,0.022329450324175958,0.03061704541652709,0.02439284662317092,0.018219770183795295,0.034795418498865194
Taxon_2,0.018219749911371763,0.0,0.02853663343900595,0.03270341365121582,0.041107123591336725,0.03479566379892524,0.02853663784718581,0.045344495827890414
Taxon_3,0.018219764220929538,0.02853663343900595,0.0,0.014132451407554229,0.034795501708714545,0.028536677524064018,0.026461891500272665,0.043222813920263496
Taxon_4,0.022329450324175958,0.03270341365121582,0.014132451407554229,0.0,0.036893404460926836,0.0306171503605439,0.028536609929936597,0.04534443979598549
Taxon_5,0.03061704541652709,0.041107123591336725,0.034795501708714545,0.036893404460926836,0.0,0.01006732738477281,0.012097126770072644,0.02853638963255129
Taxon_6,0.02439284662317092,0.03479566379892524,0.028536677524064018,0.0306171503605439,0.01006732738477281,0.0,0.006024157529033722,0.02232939920033989
Taxon_7,0.018219770183795295,0.02853663784718581,0.026461891500272665,0.028536609929936597,0.012097126770072644,0.006024157529033722,0.0,0.016173284854128594
Taxon_8,0.034795418498865194,0.045344495827890414,0.043222813920263496,0.04534443979598549,0.02853638963255129,0.02232939920033989,0.016173284854128594,0.0
