,Taxon_1,Taxon_2,Taxon_3,Taxon_4,Taxon_5,Taxon_6,Taxon_7,Taxon_8
Taxon_1,0.0,0.018,0.018,0.022,0.03,0.024,0.018,0.034
Taxon_2,0.018,0.0,0.028,0.032,0.04,0.034,0.028,0.044
Taxon_3,0.018,0.028,0.0,0.014,0.034,0.028,0.026,0.042
Taxon_4,0.022,0.032,0.014,0.0,0.036,0.03,0.028,0.044
Taxon_5,0.03,0.04,0.034,0.036,0.0,0.01,0.012,0.028
Taxon_6,0.024,0.034,0.028,0.03,0.01,0.0,0.006,0.022
Taxon_7,0.018,0.028,0.026,0.028,0.012,0.006,0.0,0.016
Taxon_8,0.034,0.044,0.042,0.044,0.028,0.022,0.016,0.0
