,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8
taxon_1,0,9,9,11,15,12,9,17
taxon_2,9,0,14,16,20,17,14,22
taxon_3,9,14,0,7,17,14,13,21
taxon_4,11,16,7,0,18,15,14,22
taxon_5,15,20,17,18,0,5,6,14
taxon_6,12,17,14,15,5,0,3,11
taxon_7,9,14,13,14,6,3,0,8
taxon_8,17,22,21,22,14,11,8,0
