,taxon_1,taxon_2,taxon_3,taxon_4,taxon_5,taxon_6,taxon_7,taxon_8
taxon_1,0.0,0.013,0.015,0.03,0.013,0.004,0.012,0.025
taxon_2,0.013,0.0,0.008,0.029,0.006,0.015,0.003,0.024
taxon_3,0.015,0.008,0.0,0.027,0.002,0.017,0.007,0.023
taxon_4,0.03,0.029,0.027,0.0,0.025,0.032,0.028,0.008
taxon_5,0.013,0.006,0.002,0.025,0.0,0.015,0.005,0.021
taxon_6,0.004,0.015,0.017,0.032,0.015,0.0,0.014,0.027
taxon_7,0.012,0.003,0.007,0.028,0.005,0.014,0.0,0.023
taxon_8,0.025,0.024,0.023,0.008,0.021,0.027,0.023,0.0
